[488, -325, -58, 124, 54, -93, -45, 76]
[0, 0, 0, 0, 0, 0, 0, 0]
[71, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[71, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[74, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[1304, -68, -164, -305, -382, -283, -65, 48]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[796, -571, -117, 223, 112, -168, -81, 136]
[-1, 1, -1, 1, -1, 1, -1, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[-1, 1, -1, 0, -1, 1, -1, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[1, -2, 2, -1, 1, -1, 1, 0]
[0, 1, -1, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[1726, -321, -84, 94, 113, 4, -93, -88]
[-1, 1, 1, -1, 2, 0, 1, 1]
[-2, 3, 3, 1, 1, -4, 1, -3]
[0, 0, 1, -2, 5, 3, -3, 0]
[0, -1, 2, 2, 0, -2, 1, -2]
[1, -2, -2, -1, -5, -1, 2, 2]
[1, 1, -2, 1, -2, 1, 0, 0]
[1, -1, -2, 1, -1, 1, -1, 1]
[1982, 34, -14, 8, -6, 6, -1, 1]
[19, -9, -6, 13, -2, 2, 1, -1]
[-13, 3, -9, 10, -2, 0, -5, 2]
[-5, -1, -1, 2, -4, 3, -3, 1]
[2, -1, -1, 1, 1, 1, 0, 0]
[3, -4, -1, 2, -2, 1, -2, 0]
[-4, -1, 5, -7, 3, -3, 3, -1]
[-1, 0, 2, -1, 1, 0, 1, 1]
[1825, -15, 8, 4, 7, 8, 4, 4]
[66, -19, -12, -2, -5, 5, 3, -4]
[-1, 4, -6, -9, 8, 7, 2, -1]
[15, 2, 1, 2, 6, 4, 0, 5]
[-7, -1, 2, 4, 5, 7, -6, 1]
[6, -4, 0, 4, 3, 1, 1, 1]
[5, 1, -1, 0, -4, -1, 2, 1]
[4, 0, 0, 2, -1, 0, 0, 0]
[1860, 11, -13, -3, 1, -1, 2, -1]
[75, -11, 14, -2, 1, 0, -3, 0]
[-5, -7, -4, 0, 3, 2, 2, 1]
[1, 7, 4, 2, -4, 3, -2, 1]
[-8, 3, -4, 3, 3, -3, 1, -1]
[6, 4, 1, 0, -4, 2, -3, 1]
[2, 0, -2, 2, 2, -1, 1, 0]
[0, 0, 1, 0, -1, 0, 0, 0]
[1789, 45, -11, -3, 4, -4, -1, -1]
[76, 21, 6, 2, -3, 3, 0, -1]
[-30, 1, 6, 4, 0, 2, -2, 0]
[-1, -15, -2, 4, 1, 0, 2, -1]
[2, 5, -7, -5, 2, -1, -1, 0]
[9, 3, -3, -2, -2, 0, 1, 1]
[-4, 0, 0, -1, 2, 1, 0, 0]
[2, -1, 0, 0, -2, 0, 1, 0]
[1675, 17, -4, 9, 1, 2, 0, 2]
[16, 23, -2, 3, -5, 3, -3, 1]
[-4, 2, -4, -10, 3, -4, 2, 0]
[-1, -1, 2, 9, -2, 4, -2, 1]
[-1, 2, -2, -1, 0, -1, 0, 0]
[2, -4, 3, -2, 2, -1, 2, -2]
[1, 0, 2, -3, 0, 0, -1, -1]
[1, 0, 0, 0, 0, -1, 0, 1]
[1375, 198, -46, 18, 3, 2, -1, -4]
[-50, 82, -97, 77, -40, 15, -9, 5]
[78, -117, 83, -23, -12, 17, -11, 4]
[-41, 31, -11, -21, 38, -29, 13, -8]
[-3, -3, -24, 23, -15, 11, -6, 6]
[6, 0, 9, -19, 18, -12, 9, -3]
[7, -10, 0, -4, 4, -3, 2, 0]
[-6, 9, -4, 3, -3, 1, -2, 0]
[1338, -156, -18, -29, -4, -6, 0, -6]
[-608, -52, 29, 0, 8, 14, 5, 3]
[-120, 141, 64, 31, 2, 9, 4, 4]
[19, 103, -19, -7, -21, -11, -3, -1]
[32, -13, -66, -19, -8, 4, 3, 1]
[20, -45, -18, 31, 18, -7, 8, -1]
[18, -8, 13, 27, 13, -9, -1, -3]
[0, -4, 5, 3, 2, -9, 2, -2]
[1594, 20, -31, 8, -8, 1, -1, 0]
[-425, -19, -22, 9, -14, 7, -7, 3]
[-282, 10, -10, 2, 3, 1, 0, 1]
[-183, 12, 9, 1, 2, -1, 2, -2]
[-84, 15, 17, 1, 2, -1, 1, -1]
[-15, 16, 17, 8, 0, 2, -1, -1]
[28, -9, 1, 8, -5, 4, -2, 1]
[28, 0, 1, -4, 3, -3, 2, -1]
[1084, 264, -33, 29, -12, 16, -8, 7]
[-587, 49, 34, -9, 8, -7, 6, -2]
[-147, -158, 43, -16, 8, -5, 8, -3]
[27, -131, -30, 27, -15, 8, -6, 3]
[36, 10, -86, 20, -5, 3, -7, 2]
[10, 36, -32, -29, 18, -14, 7, -4]
[22, 18, 25, -16, -1, -6, 1, -2]
[18, 20, 12, 2, -12, 5, -6, 3]
[138, 145, 75, 27, 6, 12, 8, -1]
[-147, -167, -83, -19, -1, -6, 0, 1]
[92, 106, 46, -3, -15, -12, -4, 0]
[-44, -37, 5, 29, 31, 22, -1, 2]
[13, 13, -24, -41, -22, -10, -2, -1]
[-3, 3, 24, 28, 5, -6, -1, 0]
[5, -7, -8, -4, 3, 8, 1, -1]
[1, -2, 2, 6, 0, -6, 1, -4]
[177, -161, 96, -57, 29, -12, 3, -7]
[76, -60, 46, -29, -17, 11, -9, 0]
[-32, 60, -36, 7, -10, 5, -6, 6]
[-23, 37, -32, 4, 8, -12, 8, -2]
[-30, 29, -21, -2, 10, -6, 8, -4]
[-9, 3, -12, -3, 6, -2, 0, -1]
[-10, 5, 2, 8, -12, 7, 0, 2]
[-1, 1, -4, 1, 0, 1, -1, 0]
[198, 185, 105, 83, 20, -8, 0, -3]
[-93, -101, -23, 13, 18, 43, 33, 9]
[11, -34, -56, -18, -22, -16, -4, -1]
[8, -5, -3, -8, -31, -20, -10, -5]
[-11, -22, -5, 0, -3, 0, -2, -2]
[5, 3, 2, 5, 2, 1, -1, -2]
[-10, -10, -2, -1, -6, -2, 1, 3]
[-1, -2, 0, -1, 0, 2, -1, -3]
[8, -1, 2, 1, 1, -3, 4, -2]
[-2, -3, -2, -3, 2, 1, 0, 1]
[1, 1, 0, -1, -2, -1, 0, -1]
[1, -2, -1, -1, 1, 1, 1, 1]
[3, 1, -1, 4, 0, 0, 1, -1]
[-1, -1, 1, -3, 0, 0, 0, 0]
[0, -1, 1, 1, 0, 1, 0, -2]
[2, -1, -2, 0, 0, -1, 1, 0]
[5, -2, 1, -2, 3, 0, 1, 0]
[0, 0, 1, -1, -2, 2, 0, 1]
[0, -2, 1, -3, 0, 0, 0, 1]
[2, -1, -2, -3, 2, 1, -1, 0]
[-2, 2, -1, 0, -2, 2, -1, 0]
[2, 0, 1, 0, 0, 0, 1, 1]
[1, 1, -2, 2, -1, 2, 0, 0]
[0, 0, 0, 0, 0, 1, -1, 0]
[290, -194, -2, -20, 29, -13, -1, 0]
[135, -67, -24, -25, 16, 8, 2, -7]
[13, 7, 8, -6, -7, -3, 0, -2]
[12, -10, -5, 6, 1, 0, 1, 2]
[8, 1, -2, 4, -2, 5, -7, -1]
[6, -6, 1, -3, -1, 4, 3, 2]
[3, 0, 2, -2, 2, -1, -2, -1]
[3, -2, -1, 0, -1, 0, 1, 2]
[1020, -151, -17, -28, -14, 0, 0, -3]
[338, -55, -7, 0, 4, -4, 0, -1]
[-42, 35, -15, -1, 4, 5, 0, 1]
[27, -11, 9, -2, -3, -1, -1, 0]
[-17, 4, -8, 2, 6, -1, 1, -1]
[1, 8, 9, -2, -2, -1, 0, 0]
[3, 2, -6, 2, 1, 1, -1, 0]
[1, -1, 4, 0, 0, -1, -1, 1]
[1180, 70, -30, -5, -6, 1, -1, 0]
[426, -43, 27, 3, 3, -4, 2, -1]
[-143, 22, -4, -3, -4, 8, -3, 2]
[58, -5, -3, 12, -3, 0, -3, 1]
[-31, 5, 5, -11, 5, -3, 4, -1]
[8, 2, -8, 10, -6, 3, -4, 0]
[1, -10, 11, -13, 9, -6, 5, -3]
[8, 2, -4, 4, -2, 2, -2, 1]
[541, 225, 15, 46, 6, 11, -1, 2]
[359, 189, -71, 13, -2, 2, -4, 3]
[47, -80, -76, 8, -12, 14, -5, 3]
[25, -62, 42, 43, -26, 29, -12, 4]
[2, 24, 22, -7, -5, 8, -7, -1]
[17, -24, 9, -28, 2, 3, -8, 3]
[2, 4, -2, 13, -2, 2, 3, 2]
[-2, -1, 6, -6, 5, -6, 1, -1]
[233, -22, 11, 1, 0, -4, 1, 1]
[-53, -20, -33, -6, 0, 20, -1, 0]
[24, 5, 7, 2, -11, 3, -3, 3]
[-11, -33, 0, 6, 12, 8, 3, -1]
[14, 1, -3, -5, 7, 5, -3, 1]
[-10, 11, 17, 15, 9, 1, -2, -1]
[1, -5, -6, -3, -6, -2, 2, 1]
[-3, 4, 4, 3, 2, 1, 2, -1]
[412, -13, -119, 61, 48, -36, -18, 2]
[-62, -8, 50, -29, -26, 3, -1, 13]
[-59, -7, 61, -14, -54, 27, 29, -11]
[16, 17, -42, 6, 26, 2, -6, -26]
[-6, -4, 20, 10, -14, 8, 13, 7]
[20, 0, -26, 11, 19, -12, -7, 16]
[2, -4, 7, 5, -5, -2, 7, -7]
[2, 1, -6, -3, 5, -1, -3, 2]
[188, 12, 8, -2, -3, 5, -2, 4]
[9, -15, 9, -13, 3, -8, 0, -2]
[10, -10, 6, -1, -3, 8, -2, 1]
[-6, -7, -10, -6, -2, 7, 0, -2]
[0, 3, -5, 5, 0, -1, -2, 2]
[3, -2, -5, 2, 2, -2, 3, -2]
[2, 2, 3, 4, -1, 0, 0, 2]
[-1, 0, -2, 0, 0, -1, 1, 1]
[272, -113, 51, -29, 18, -2, 3, 4]
[111, -55, 54, -6, -7, 4, -7, 3]
[19, -23, 10, 15, -14, 10, -6, 6]
[7, -16, -12, 16, -14, 2, 0, 1]
[4, -8, -2, 4, -11, -4, 2, 2]
[5, -6, -11, 14, 2, -7, 3, -2]
[-1, -8, -4, -5, -4, -7, 7, -1]
[-1, 4, -2, 6, 4, 0, -2, -1]
[987, -161, -8, -41, 1, -13, 0, 2]
[106, 42, 28, 30, -8, 6, -3, 0]
[-5, -14, -21, 12, -4, 12, -6, 0]
[0, 0, -6, -3, 2, -5, 5, 1]
[3, 9, -1, 2, 5, -5, 0, -2]
[2, 5, -4, 3, -3, -3, 0, 1]
[4, -2, 0, -2, -1, 5, -3, 1]
[1, -5, -2, 0, -1, 0, 0, 1]
[1297, 8, -3, 0, 13, 0, -1, -3]
[18, -1, 7, 2, -5, -1, 3, 0]
[-24, -15, -14, -4, 0, 1, 1, 0]
[1, -5, 8, 1, -8, 10, -3, 2]
[10, 7, -6, -5, 2, -5, 1, 0]
[4, 3, 2, 2, -4, 2, -2, 0]
[-3, 2, 1, -1, 2, -3, 1, 0]
[2, 1, 1, 1, -2, 1, -1, 0]
[1225, 48, -6, 7, -2, 1, -2, 1]
[12, 4, 1, 0, 3, -1, 0, -1]
[-7, 3, 0, -3, -1, 0, 0, 1]
[-4, 5, -3, 2, -2, 2, 0, 1]
[0, -1, 1, 0, 0, 1, 0, 1]
[-4, 0, -2, -1, -1, 0, 0, 0]
[0, 0, 0, 1, 0, 1, 0, 0]
[-1, 1, 0, -1, 0, 0, 0, 0]
[907, 124, -7, 20, -18, 17, -11, 4]
[41, -27, 19, -15, 12, -11, 4, 1]
[-12, 6, -13, 5, -3, -4, 4, -5]
[2, -7, -1, 2, -3, 0, -2, 5]
[1, 0, 4, -2, 2, 5, -2, -2]
[-1, -4, -2, 1, 2, -4, 0, 1]
[-1, 2, -2, 1, -1, 2, 0, -2]
[0, 0, -1, 1, 0, -1, -1, 1]
[871, -131, -27, 2, -16, -17, -7, -5]
[109, -18, -14, 9, -4, 3, -5, 4]
[11, -9, 1, 5, 3, 0, -2, 1]
[13, -3, -3, -1, 1, -1, 3, -5]
[-2, 1, 0, 0, -1, -5, 1, 1]
[8, 4, -2, -5, 2, -1, 1, -3]
[-5, -4, 2, 3, -2, -1, -1, 1]
[-4, 1, -2, -1, 0, 1, 0, -1]
[1097, -17, 2, -16, -12, 2, -3, -1]
[92, 15, 11, -1, -5, 0, -3, 0]
[-18, 12, -4, 3, 6, -1, 2, 1]
[0, -4, -2, 5, 8, -1, 3, -1]
[-5, 4, 5, 0, -2, 2, 1, 1]
[8, -2, -2, 1, 3, -1, 2, 0]
[-3, 3, 1, 0, -3, 0, -1, 0]
[-3, -3, -1, -1, 3, -2, 0, 0]
[1049, 58, -11, 11, -2, 10, -4, 1]
[80, -20, 15, -7, 8, -5, 3, -2]
[-15, 0, -4, 2, -1, 0, 1, 1]
[16, -5, -3, 4, -4, -3, -6, 1]
[-6, -8, 1, -1, 3, 0, 4, -1]
[4, 4, -1, 0, -3, -3, -2, 2]
[-5, 0, 0, -4, 4, -1, 3, -2]
[2, 3, -3, 2, -1, 0, -2, 0]
[627, 93, 89, -7, 0, 4, 0, 7]
[167, 19, -40, -37, -5, 25, 17, -5]
[-43, -30, -7, 26, 33, 17, -13, -14]
[6, -4, 16, -1, -11, -18, 2, 0]
[-10, -14, 1, 8, 2, 8, 7, 5]
[-14, 3, 4, 12, -2, -5, -6, -1]
[8, -2, -11, 0, 8, 3, 3, 1]
[-5, 2, 3, 0, -3, -3, -1, -1]
[626, 9, -9, 7, -3, -10, -2, -1]
[153, 6, -21, 4, -5, 6, -6, 2]
[6, -47, 34, -6, 2, 2, 0, -2]
[-10, 43, -21, -5, 7, -5, 4, -1]
[13, -25, -6, 22, -11, 2, 0, 1]
[1, 3, -3, -7, -1, 9, -6, 2]
[-2, 4, 1, -1, 1, -4, 2, -1]
[1, 3, 0, -1, 2, 2, 0, 0]
[647, -29, 22, -14, -1, 7, 4, 0]
[-218, 112, 42, 8, -1, 10, 5, -2]
[-5, 121, 29, -14, -5, -5, 3, -1]
[-3, 54, -18, -23, -8, 12, -6, -4]
[4, 5, -17, -6, 9, 4, 2, 0]
[9, -11, -7, 5, 0, -10, -2, -2]
[4, -3, 4, -2, 0, 2, 1, 0]
[3, -5, -2, 0, 3, -3, 1, -1]
[711, 4, 9, 13, -9, -1, 5, 0]
[-316, -24, -5, 19, -6, -11, 7, -1]
[-123, -39, 13, 1, 13, -5, 5, -1]
[17, -56, 11, -20, 10, 7, -5, -3]
[68, -12, -33, -7, -4, 9, -5, 2]
[25, 29, -13, 7, -17, 3, -4, 1]
[6, 40, 11, 1, -3, -10, 0, -1]
[-19, 16, 26, -5, 4, -10, 4, -3]
[777, 46, -57, -15, -25, -29, -1, -9]
[-111, -78, -22, -7, -11, -4, -8, 1]
[14, 0, -35, -8, 12, 8, 14, 5]
[-5, 23, 31, 15, 0, -18, 8, 4]
[-22, -10, -7, 29, 12, -5, -4, 5]
[-8, 1, -18, -20, -12, 10, -1, 8]
[7, 8, 12, -5, -6, -7, 6, 7]
[5, 11, 13, 13, 12, 9, 1, -7]
[608, 314, -147, 19, -31, -58, 72, -9]
[-5, 13, -3, -25, 30, -13, -58, 2]
[53, 47, -14, -16, 37, 17, -18, -4]
[11, -16, -14, 17, -17, -5, 32, 10]
[-15, 9, 12, -1, 24, 16, -17, -5]
[-7, 2, 1, -6, 20, 13, -8, -2]
[-6, -13, 16, 33, -5, -12, 5, -5]
[-2, 3, 9, -6, 1, 14, 6, -3]
[763, -568, -234, 438, -99, -112, 13, 84]
[37, -49, 32, -22, -32, 74, -31, -26]
[-11, 11, -10, -6, -4, -4, 6, -20]
[-10, 22, -23, 27, 17, -33, 6, 42]
[14, -12, -21, 38, 12, -50, -8, 56]
[7, -4, -32, 23, 14, -32, -4, 39]
[-13, 21, -5, 0, -3, 9, -1, -2]
[10, -10, -3, 6, -1, 6, -1, -4]
[400, 248, -71, -48, 75, -4, -55, 9]
[-19, -1, 5, -30, -32, 14, 23, -2]
[-17, -13, 5, 5, -11, -22, 6, 8]
[2, 2, -1, 1, 4, -6, -2, -2]
[-4, -7, -5, -4, -11, -6, 12, 11]
[-2, -2, 6, 2, -7, 2, -2, -3]
[1, 3, -1, -1, 0, -2, 6, 2]
[-2, -1, -2, -2, 4, 4, 0, -4]
[71, -1, -1, 1, 0, 0, 0, 0]
[0, 0, -2, -1, 0, 0, 0, 0]
[-2, 0, 3, 2, 0, 0, 0, 0]
[1, 0, 1, -1, 0, 0, 0, 0]
[1, 0, 1, -1, 0, -1, 0, 0]
[0, 1, -1, -1, 0, 1, 0, 0]
[0, 1, 0, 0, 0, 0, 0, 0]
[1, 0, 0, 0, 0, 1, 0, 0]
[74, 3, -1, -2, 0, 0, -1, 1]
[-1, 1, -1, -1, 0, 1, 1, -1]
[0, -2, 0, 0, -1, 0, 0, 0]
[-1, 0, 2, -1, -1, 1, 0, 1]
[0, -1, 2, 0, 0, 0, -1, -1]
[0, 1, 1, -1, 0, 1, 1, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, -1, 0, 0, 0]
[72, -1, 1, 1, 0, -2, -1, 0]
[-3, 1, 1, -1, 1, -1, 0, 0]
[0, 0, 0, 0, 1, 0, 0, 0]
[2, 0, -1, 0, 0, -1, -1, 0]
[0, -1, 1, 0, 0, -1, 0, 0]
[0, 1, 0, 0, 0, -1, 0, 0]
[0, 0, 1, 0, 1, -1, 0, 0]
[0, 0, -1, 0, 1, 0, 0, 0]
[72, 0, -1, -1, 1, 0, 1, 0]
[0, -1, 0, 0, 0, 0, 2, -1]
[1, 1, 0, -1, -1, -1, 2, -1]
[2, 2, 2, -1, 2, -1, 2, 1]
[-2, 3, 3, -2, 1, -2, 1, -1]
[1, 0, 0, 1, 0, 1, 0, 0]
[0, 0, 1, 0, 1, -1, 0, -1]
[0, 1, 0, -1, 1, 0, -1, 1]
[72, -4, 0, 3, 2, -1, 0, 0]
[11, -4, -4, 1, -2, 2, -2, 0]
[1, -2, -6, 5, -1, 2, -1, 0]
[5, -7, -2, 2, 1, 1, 1, -1]
[0, 0, 2, 4, -2, 1, -2, -1]
[2, 0, -2, -4, 4, -2, 2, -1]
[-1, 1, 1, 2, -1, -1, -1, -1]
[1, 0, 0, -1, 0, -1, 1, 0]
[94, -7, -2, 0, 0, 0, 0, 1]
[17, 3, -5, -2, 1, 0, -1, 0]
[4, 3, -7, 5, -6, 3, -5, 2]
[0, 2, -3, -2, 6, -3, 2, -1]
[7, 4, 2, 0, -2, 1, -1, 0]
[2, 2, 0, 0, 4, 0, 0, 0]
[2, 0, 1, 1, -1, 1, -1, 1]
[-1, 1, 1, 0, 0, 0, 1, 0]
[85, -4, -2, 1, 4, -4, 5, 0]
[1, 4, -4, -1, -3, -1, 2, 0]
[-3, 1, -6, -1, 2, -1, 0, -1]
[7, -1, -2, 0, 4, -1, 0, -1]
[7, 2, 1, 0, -2, 1, -2, 1]
[5, -2, -2, 1, 1, 1, 1, 1]
[-2, 1, 1, 0, -1, 0, -1, 1]
[1, -1, 0, 0, 0, 0, 1, -1]
[87, 0, -2, 4, -3, -1, 1, 0]
[4, 0, -4, -2, -4, -1, -1, -1]
[4, 2, -2, -1, 0, -1, -1, -1]
[-1, 4, -1, 1, 1, 1, 2, 0]
[3, -1, 0, -4, 1, 2, -1, 1]
[0, 0, 0, 0, 0, 0, 0, 0]
[-1, 1, -1, -2, 0, 0, 0, 0]
[-1, 1, 1, 1, 0, -1, 0, 1]
[76, 5, -3, 3, -4, -1, 0, 0]
[-3, 0, 1, 2, -2, -1, 1, 0]
[0, 3, 3, 3, 1, -2, -1, -1]
[-3, 4, 4, -1, -4, -3, 1, 0]
[1, 0, -1, -2, 0, 4, -1, 1]
[1, -1, -1, 2, 2, -3, 1, -1]
[1, -1, 0, -1, 1, 1, -1, 0]
[0, 0, -1, 1, 0, 0, 0, 0]
[71, -1, 4, -1, 1, -4, 1, -1]
[1, 4, -2, -2, 0, -2, 0, 0]
[1, -1, 1, 0, -1, 2, -1, 1]
[-1, 2, -2, 2, -1, 0, -2, 0]
[1, 3, 4, -3, -2, 0, 0, 0]
[0, 1, 4, 1, -4, 1, -1, 0]
[1, -2, -3, 2, 3, 0, 0, 1]
[1, 1, 0, -1, -2, 0, 0, 0]
[71, -1, 3, 2, 1, -1, 0, 1]
[0, 1, -3, 0, 2, -2, 0, 0]
[-2, 0, -1, 1, -1, 1, 0, -1]
[3, -4, -4, 1, -1, 1, 0, 0]
[0, 1, 1, 0, -1, 1, 0, 0]
[-1, 1, -1, 0, 0, -1, 0, 0]
[0, -1, 2, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[75, 6, -4, 2, -1, 0, -1, 0]
[0, 0, -2, -1, -2, 2, 0, 0]
[0, 0, -1, -2, 2, 0, 0, 0]
[2, -2, 3, 0, 0, -2, 1, 0]
[-5, -2, 1, -1, 2, 0, 0, 0]
[1, -2, -1, 1, -1, 0, 1, 0]
[0, 2, 1, -1, 1, 0, 0, 0]
[0, 0, 0, 0, -1, -1, 0, 0]
[71, -2, -4, 0, 2, 1, -2, 0]
[-2, 2, -3, 2, 0, -1, 0, -1]
[0, 1, 1, -5, 2, 0, 1, 1]
[1, 0, 2, -2, 0, -1, 1, 0]
[-4, 3, 2, 0, 1, -1, 0, 0]
[-2, -1, 1, 0, 0, -1, 0, -1]
[1, 0, -2, 1, -1, 1, -1, 0]
[1, -1, 0, 0, 0, 0, 0, 0]
[75, 5, 0, -2, 2, -3, -1, 0]
[1, -1, -2, -1, 1, -2, 1, 0]
[3, 0, 1, -2, 1, 1, 0, 0]
[-4, -1, 0, -1, 0, 2, 0, 1]
[0, 0, -1, 1, -1, -1, 0, -1]
[0, 1, -1, 0, 0, 1, -1, 1]
[0, 0, -1, 0, 0, 0, 0, 0]
[0, 0, -1, 1, 0, 0, 1, 0]
[73, 1, -2, -3, 1, 2, 1, 1]
[3, 1, -1, 1, -2, 0, 0, 1]
[3, 3, 1, 0, -1, 0, -1, 0]
[-3, -1, 1, -2, -2, 1, -1, 0]
[1, -1, 0, 2, 1, 0, 0, -1]
[-4, -1, 0, -2, 0, 1, 1, -1]
[1, 0, 1, 1, 0, 0, 0, 1]
[0, 0, 0, -1, -1, 0, 0, -1]
[71, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[71, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[71, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[71, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[72, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[1, 0, 0, 0, 0, 0, 0, 0]
[1, 0, 0, 0, 0, 0, 0, 0]
[-1, 0, 0, 0, 0, 0, 0, 0]
[1, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[89, -23, 14, -3, -1, 0, 1, -1]
[-21, 28, -15, 3, 2, 0, -1, 1]
[7, -10, 3, 6, -6, 4, -2, 0]
[-2, 3, 1, -6, 2, 0, 2, 0]
[1, -1, -1, 3, 1, -2, 0, 0]
[-1, 2, -1, -2, -1, 0, 0, 0]
[1, -2, 0, 1, 1, -1, 1, -1]
[-1, 0, 0, -2, -1, 0, 0, 1]
[335, -83, -8, -18, 3, -5, 2, -3]
[-62, -5, 12, -18, 9, -5, 4, -3]
[-8, -3, -13, 11, -3, 1, 1, 0]
[-4, 1, 0, 1, 3, 2, -2, 1]
[0, -1, -2, 4, -5, 3, -1, 0]
[-2, 1, -1, -1, 0, 0, -1, -1]
[-2, 0, 0, 1, -1, 1, -1, 0]
[0, 0, 0, 0, 0, -1, -1, 1]
[291, 154, 3, 10, -3, -10, -1, -1]
[115, 18, -62, -4, -5, 1, -2, -3]
[12, -34, -11, 22, -6, 4, -3, 2]
[1, -7, 6, 3, -8, 0, 1, 2]
[-5, -10, -2, -5, 3, 6, 0, -1]
[1, -2, 3, 0, -2, -2, 1, 0]
[-1, -3, -1, -1, 1, 2, 0, 0]
[2, 1, 0, 0, -1, -1, 0, 0]
[69, -1, 0, 0, 1, 1, 0, 0]
[-3, -3, 0, -1, -1, 2, 2, 0]
[0, -4, -3, 0, -1, 3, 2, 0]
[1, 0, -3, 0, 3, 1, 1, 0]
[0, 1, 0, 1, 1, 0, 1, 0]
[2, 0, 1, 1, 0, 2, 0, 0]
[0, 1, 2, 0, 0, 1, 0, 0]
[0, 0, 0, -1, 0, 0, 1, 0]
[71, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[71, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0]
